Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
26.03/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1570. ЩПС С-4 Садкинский и Кушвинский отбор 25-26.03.2025 (испытание 27-28.03.2025)-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176746&field_id=PROPERTY_1409&file_id=208632&ncc=y&download=y&download=y;ПК 1260 накопитель;26.03.2025;ГЛК;26.03/25-13;Паспорт не предоставлен
26.03/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1591. Бетоный 7 суток 26.03.25 (испытание 02.04.25)-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178343&field_id=PROPERTY_1409&file_id=210218&ncc=y&download=y&download=y;ПК 1078+69 ВПТ, лоток оголовка (право), заполнение пазух (лево);26.03.2025;ГЛК;26.03/25-13;
26.03/Т-13-13/РИС;500;ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000 - км 75+780 (I этап км 0+000-км 50+780);Файл: АОП 26.03-Т-13-13-РИС от 26.03.25.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177442&field_id=PROPERTY_1409&file_id=209270&ncc=y&download=y&download=y;Штабель ПБ пгт Лозно-Александровка;26.03.2025;ГСК;26.03/Т-13-13/РИС;
26.11/24-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 1. Акт отбора.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176586&field_id=PROPERTY_1409&file_id=208508&ncc=y&download=y&download=y;ПК 372+60 - ПК 374+70, ПК 756+50 - ПК 760+80;26.11.2024;ГЛК;26.11/24-01Б;
26.11/24-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 1. Акт отбора.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176561&field_id=PROPERTY_1409&file_id=208479&ncc=y&download=y&download=y;ПК 832+52 - ПК 833+00;26.11.2024;ГЛК;26.11/24-02Б;
26.12/24-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 997+70-ПК 998+00 Насыпь зп (промежут. сл) 26.12.24-01 (испытание 28.12.2024) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177798&field_id=PROPERTY_1409&file_id=209565&ncc=y&download=y&download=y;ПК 998+00;26.12.2024;ГЛК;26.12/24-01;
26.12/24-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 1. Акт отбора.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176873&field_id=PROPERTY_1409&file_id=208757&ncc=y&download=y&download=y;ПК 931+95 - ПК 937+95;26.12.2024;ГЛК;26.12/24-01Б;
26.12/24-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 992+00 песч. осн. в интервале колодцев 26.12.24-02 НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178022&field_id=PROPERTY_1409&file_id=209844&ncc=y&download=y&download=y;ПК 992+00;26.12.2024;ГЛК;26.12/24-02;
26.12/24-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 1. Акт отбора.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176888&field_id=PROPERTY_1409&file_id=208768&ncc=y&download=y&download=y;ПК978+22;26.12.2024;ГЛК;26.12/24-02Б;
26.12/24-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС Грунт (не связн.) ПК 997+00 с а.м 26.12.24-03 (испытание 28.12.2024) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178043&field_id=PROPERTY_1409&file_id=209863&ncc=y&download=y&download=y;ПК 997+00;26.12.2024;ГЛК;26.12/24-03;
2602/-БЕТ;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 февраля 2025 г. В40 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180572&field_id=PROPERTY_1409&file_id=212581&ncc=y&download=y&download=y;Реконструкция путепровода по ул. Ивановская;26.02.2025;ГЛК;2602/-БЕТ;
2602/-БЕТ;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 февраля 2025 г. В40 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174695&field_id=PROPERTY_1409&file_id=206863&ncc=y&download=y&download=y;Реконструкция путепровода по ул. Ивановская, ОП1;26.02.2025;ГЛК;2602/-БЕТ;
2602/-БЕТ2;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 февраля 2025 г. В7,5 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180569&field_id=PROPERTY_1409&file_id=212578&ncc=y&download=y&download=y;Стартовая площадка, подкрановые пути;26.02.2025;ГЛК;2602/-БЕТ2;
2602/-БЕТ2;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 февраля 2025 г. В7,5 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174687&field_id=PROPERTY_1409&file_id=206856&ncc=y&download=y&download=y;Стартовая площадка, подкрановые пути;26.02.2025;ГЛК;2602/-БЕТ2;
2602/-БЕТ3;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 февраля 2025 г. В30 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174673&field_id=PROPERTY_1409&file_id=206843&ncc=y&download=y&download=y;Разворотный путепровод через А-149, ОП3 БНС3;26.02.2025;ГЛК;2602/-БЕТ3;
2602/-БЕТ3;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 февраля 2025 г. В30 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180575&field_id=PROPERTY_1409&file_id=212584&ncc=y&download=y&download=y;Разворотный путепровод через А-149;26.02.2025;ГЛК;2602/-БЕТ3;
2603/-БЕТ;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 марта 2025 г. В40 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180611&field_id=PROPERTY_1409&file_id=212621&ncc=y&download=y&download=y;Мостовой переход через р. Кудепста;26.03.2025;ГЛК;2603/-БЕТ;
2603/-ЩЕБ;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб щебень от 26 марта 2025 г. 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180675&field_id=PROPERTY_1409&file_id=212743&ncc=y&download=y&download=y;Мостовой переход через р. Кудепста;26.03.2025;ГЛК;2603/-ЩЕБ;
2612/-БЕТ;500;МЛ ДСМ 3;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 декабря 2024 г. В30 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173024&field_id=PROPERTY_1409&file_id=205144&ncc=y&download=y&download=y;Мостовой переход через реку Кудепста ОП R03 БНС8;26.12.2024;ГЛК;2612/-БЕТ;
2612/-БЕТ2;500;ПЛП 2;СТР Обход Адлера;Файл: АКТ 2612 _-БЕТ2 от 26.12.2024г..pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173585&field_id=PROPERTY_1409&file_id=205854&ncc=y&download=y&download=y;Восточный портал восточного комплекса, БНС16;26.12.2024;ГЛК;2612/-БЕТ2;
2612/-БЕТ2;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 декабря 2024 г. В40 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173340&field_id=PROPERTY_1409&file_id=205612&ncc=y&download=y&download=y;Восточный портал тоннельного комплекса БНС 16;26.12.2024;ГЛК;2612/-БЕТ2;
2612/-БЕТ2;500;МЛ ДСМ 3;СТР Обход Адлера;Файл: Акт отбора проб бетона от 26 декабря 2024 г. В40 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173027&field_id=PROPERTY_1409&file_id=205146&ncc=y&download=y&download=y;Восточный портал тоннельного комплекса БНС 16;26.12.2024;ГЛК;2612/-БЕТ2;
269Гр/23.03/43К-03;500;ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000 - км 32+800;Файл: АОП 269Гр-23.03-43К-03 от 23.03.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178746&field_id=PROPERTY_1409&file_id=210563&ncc=y&download=y&download=y;ПК 269+50;23.03.2025;ГСК;269Гр/23.03/43К-03;
269К/23.03/43К-03;500;ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000 - км 32+800;Файл: АОП 269К-23.03-43К-03 от 23.03.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178755&field_id=PROPERTY_1409&file_id=210569&ncc=y&download=y&download=y;ПК 269+50 лево, ось;23.03.2025;ГСК;269К/23.03/43К-03;
27;500;ПЛП 5;КР М4 км 103 - км 117;Файл: Акт 27 от 24.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173571&field_id=PROPERTY_1409&file_id=205789&ncc=y&download=y&download=y;ПК1162+01 - ПК1165+16 (Разделительная полоса);24.01.2025;ГСК;27;
27;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: протокол №27 от 10.02.2025 (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181055&field_id=PROPERTY_1409&file_id=213085&ncc=y&download=y&download=y;ПК 480+14 км 113+337 путепровод через полевую дорогу;13.01.2025;ГСК;27;Опоры ОК1, ОК2 (2 этап), Фундаменты монолитные Фм-2т/н
27-Г(0-20);500;ПЛП 4;КР 00 ОП МЗ 000-375 км 0+000 - км 20+200;Файл: АОП 27-Г (0-20) от 17.03.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179293&field_id=PROPERTY_1409&file_id=211101&ncc=y&download=y&download=y;ПК49+50 ВПТ;17.03.2025;ГСК;27-Г(0-20);
27.01/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 951+27 конус до ИССО 3 (13-14 слой) 27.01.25-01 (испытание 28.01.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178767&field_id=PROPERTY_1409&file_id=210577&ncc=y&download=y&download=y;ПК 951+40, ИССО-3, ОП1, конус 13,14-й слой;27.01.2025;ГЛК;27.01/25-01;
27.01/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1524.Грунт Купл от 27.01.25 (испытания 28.01.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174760&field_id=PROPERTY_1409&file_id=206910&ncc=y&download=y&download=y;Земляное полотно (верх рабочего слоя), уч. ПК 1077+40 - ПК 1080+10;28.01.2025;ГЛК;27.01/25-01;
27.01/25-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В30 от 27.01.25-01-(7суток 03.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178068&field_id=PROPERTY_1409&file_id=209886&ncc=y&download=y&download=y;уч. ПК 981+40 - ПК 987+90, замки водосбросов колодцев закрытого типа;27.01.2025;ГЛК;27.01/25-01Б;
27.01/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 951+47 ОЗ ПС3 ОП2 секция 2 (3-4 слой) 27.01.25-02 (испытание 28.01.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178791&field_id=PROPERTY_1409&file_id=210593&ncc=y&download=y&download=y;ПК 951+40, ИССО-3, ОП2, обратная засыпка ПС3, секция2;27.01.2025;ГЛК;27.01/25-02;
27.02/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175769&field_id=PROPERTY_1409&file_id=207745&ncc=y&download=y&download=y;Земляное полотно 5-й слой, уч. ПК 1304+75 - ПК 1305+75;27.02.2025;ГЛК;27.02/25-01;
27.02/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 926+25 сх проезд ПК 2+80-ПК 4+55 ВЗП 27.02.25-01 (испытание 28.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179614&field_id=PROPERTY_1409&file_id=211543&ncc=y&download=y&download=y;ПК 926+25 с/х проезд ПК 2+80-ПК 4+55. Насыпь ВЗП;27.02.2025;ГЛК;27.02/25-01;
27.02/25-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В30 от 27.02.25-01-(7суток 06.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179450&field_id=PROPERTY_1409&file_id=211271&ncc=y&download=y&download=y;ПК 939+91-ПК941+41, лотки колодцев и замки колодцев;27.02.2025;ГЛК;27.02/25-01Б;
27.02/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175772&field_id=PROPERTY_1409&file_id=207747&ncc=y&download=y&download=y;Земляное полотно, уч. ПК 1278+00 - ПК 1282+00;27.02.2025;ГЛК;27.02/25-02;
27.02/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 978+00 право от ОХ ео ЛОС 27.02.25-02 (испытание 28.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179623&field_id=PROPERTY_1409&file_id=211549&ncc=y&download=y&download=y;ПК 978+00 право от ОХ. Естественное основание траншеи на участке Л4-1а-Л4-1, Л4-1-м4-1, м4-2-Л4-2;27.02.2025;ГЛК;27.02/25-02;
27.02/25-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В35 от 27.02.25-02-(7суток 06.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179477&field_id=PROPERTY_1409&file_id=211299&ncc=y&download=y&download=y;ПК 926+25, переходная плита ППм2, ОП2;27.02.2025;ГЛК;27.02/25-02Б;
27.02/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1432. Грунт (Купл) отбор 27.02.25 (испытание 01.03.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175812&field_id=PROPERTY_1409&file_id=207825&ncc=y&download=y&download=y;Земляное полотно 1,2,3-й слой, уч. ПК 1091+80 - ПК 1092+20;27.02.2025;ГЛК;27.02/25-03;
27.02/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 978+00 право от ОХ осн. под ЛОС 27.02.25-03 (испытание 28.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179692&field_id=PROPERTY_1409&file_id=211596&ncc=y&download=y&download=y;ПК 978+00 право от ОХ. Песчаное основание на участке от Л4-1а-Л4-1, Л4-1-м4-1, м4-2-Л4-2;27.02.2025;ГЛК;27.02/25-03;
27.02/25-03Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В25 от 27.02.25-03-(7суток 06.03.25) (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178563&field_id=PROPERTY_1409&file_id=210400&ncc=y&download=y&download=y;ПК 681+57 Бетонирование фундамента ФМ-1;27.02.2025;ГЛК;27.02/25-03Б;
27.02/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175778&field_id=PROPERTY_1409&file_id=207790&ncc=y&download=y&download=y;Земляное полотно 1-й слой, уч. ПК 1239+60 - ПК 1240+40;27.02.2025;ГЛК;27.02/25-04;Повторный отбор
27.02/25-05;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 997+69 сх проезд ПК 6+80 подушка под трубу 27.02.25-05 (испытание 28.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179719&field_id=PROPERTY_1409&file_id=211614&ncc=y&download=y&download=y;ПК 997+69 с/х проезд ПК 6+80. Подушка под тело и оголовки трубы;27.02.2025;ГЛК;27.02/25-05;
27.02/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-09.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175781&field_id=PROPERTY_1409&file_id=207803&ncc=y&download=y&download=y;ПК 1050+76, ИССО-10 1-й слой обратной засыпки гибкого ростверка;27.02.2025;ГЛК;27.02/25-05;
27.02/25-06;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС ЩПС С-4 ПК 968 штабель АПК Кушвинский 27.02.25-06 (испытание 01.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179734&field_id=PROPERTY_1409&file_id=211625&ncc=y&download=y&download=y;ПК 968 штабель. Устройство нижнего слоя основания;27.02.2025;ГЛК;27.02/25-06;
27.02/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1432. Грунт (Купл) отбор 27.02.25 (испытание 01.03.2025)-3.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175815&field_id=PROPERTY_1409&file_id=207827&ncc=y&download=y&download=y;Земляное полотно 14,15-й слой, уч. ПК 1051+12,38 - ПК 1052+00;27.02.2025;ГЛК;27.02/25-06;
27.02/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-11.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175784&field_id=PROPERTY_1409&file_id=207806&ncc=y&download=y&download=y;ДСО, уч. ПК 1104+60 - ПК 1108+00;27.02.2025;ГЛК;27.02/25-07;
27.02/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-13.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175787&field_id=PROPERTY_1409&file_id=207808&ncc=y&download=y&download=y;ДСО, уч. ПК 1016+00 - ПК 1019+50;27.02.2025;ГЛК;27.02/25-08;
27.02/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-15.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175790&field_id=PROPERTY_1409&file_id=207810&ncc=y&download=y&download=y;Земляное полотно (верх рабочего слоя), уч. ПК 1010+40 - ПК 1011+60;27.02.2025;ГЛК;27.02/25-09;
27.02/25-10;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-17.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175793&field_id=PROPERTY_1409&file_id=207812&ncc=y&download=y&download=y;ПК 1020+00, ИССО-8, 6,7,8-й слой обратной засыпки;27.02.2025;ГЛК;27.02/25-10;
27.02/25-11;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-19.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175796&field_id=PROPERTY_1409&file_id=207814&ncc=y&download=y&download=y;ПК 1020+00, ИССО-8, 6-й слой обратной засыпки;27.02.2025;ГЛК;27.02/25-11;
27.02/25-12;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1427.Грунт Купл от 27.02.25 (испытания 28.02.25)-21.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175799&field_id=PROPERTY_1409&file_id=207816&ncc=y&download=y&download=y;ПК 1020+00, ИССО-8, 2-й слой обратной засыпки гибкого ростверка;27.02.2025;ГЛК;27.02/25-12;
27.02/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1431. Грунт (ФМС) отбор 27.02.25 (испытание 01.03.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175808&field_id=PROPERTY_1409&file_id=207822&ncc=y&download=y&download=y;ПК 1051+35 право;27.02.2025;ГЛК;27.02/25-13;
27.02/25-14;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1429.Грунт ФМС от 27.02.25 (испытания 28.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175802&field_id=PROPERTY_1409&file_id=207818&ncc=y&download=y&download=y;ПК 1020+00, ИССО-8, 6,7,8-й слой обратной засыпки ОП2;27.02.2025;ГЛК;27.02/25-14;
27.02/25-15;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1569. Протоколы Бетон 28 суток от 27.02.2025 испытание 27.03.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177383&field_id=PROPERTY_1409&file_id=209163&ncc=y&download=y&download=y;ПК 1006, укрепление входного контроля ВПТ;27.02.2025;ГЛК;27.02/25-15;
27.02/25-16;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1569. Протоколы Бетон 28 суток от 27.02.2025 испытание 27.03.2025-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177386&field_id=PROPERTY_1409&file_id=209166&ncc=y&download=y&download=y;ПК 1324+53,48, ИССО-24, укрепление русла оголовка;27.02.2025;ГЛК;27.02/25-16;
27.03.25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл грунт ПК 926 сх проезд ПК 000-ПК 200 ВЗП 27.03.25-03(испытан 28.03.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179902&field_id=PROPERTY_1409&file_id=211802&ncc=y&download=y&download=y;ЗП (верхний слой) ПК 926 сельхоз проезд;27.03.2025;ГЛК;27.03.25-03;
27.03/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл песок ПК 319+00 БРР ОЗ пазух песком (15-20 слой шурф) 27.03.25-01 (испытан28.03.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179819&field_id=PROPERTY_1409&file_id=211701&ncc=y&download=y&download=y;ПК 319, обратная засыпка 15-20-й слой БРРЗ;27.03.2025;ГЛК;27.03/25-01;
27.03/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1571. Грунт Купл отбор 27.03.2025 (испытание 28.03.2025)-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176760&field_id=PROPERTY_1409&file_id=208687&ncc=y&download=y&download=y;ПК 1346+00 лево, обратная засыпкаколодцев;27.03.2025;ГЛК;27.03/25-01;
27.03/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1571. Грунт Купл отбор 27.03.2025 (испытание 28.03.2025)-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176763&field_id=PROPERTY_1409&file_id=208689&ncc=y&download=y&download=y;ПК 1313, ИССО 23,обратная засыпка 19,19-й слой;27.03.2025;ГЛК;27.03/25-02;
27.03/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1571. Грунт Купл отбор 27.03.2025 (испытание 28.03.2025)-05.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176768&field_id=PROPERTY_1409&file_id=208691&ncc=y&download=y&download=y;ПК 1304, ИССО-22, ОП2, конус 1,2-й слой;27.03.2025;ГЛК;27.03/25-03;
27.03/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1571. Грунт Купл отбор 27.03.2025 (испытание 28.03.2025)-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176772&field_id=PROPERTY_1409&file_id=208693&ncc=y&download=y&download=y;ДСО 1,2-й слой, уч. ПК 1289+00 - ПК 1293+50;27.03.2025;ГЛК;27.03/25-04;
