ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 1;СТР М-12 Д-А, 1-й этап;01.08/25-03;01.08.2025;Устройство гасителя, тип №5. Технологический разворот. ПК 958+80 (право);ГЛК;01.08.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;01.08/25-03;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;11.07/25-01;11.07.2025;Устройство (укрепление) кювета. ПК 1017(право), ПК 1072(лево);ГЛК;11.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;11.07/25-01;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;11.07/25-02;11.07.2025;Устройство (укрепление) водоотвода, быстротока. ПК 1028+00(право) ;ГЛК;11.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;11.07/25-02;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;11.07/25-03;11.07.2025;Устройство ростверка шумозащитных экранов. ПК 991;ГЛК;11.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;11.07/25-03;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;11.07/25-04;11.07.2025;Устройство водосброса. ПК 1227;ГЛК;11.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;11.07/25-04;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.08/25-02;07.08.2025;Устройство ДСО. МФЗ ПК 26+50 проезд №2.1(лево), 1-й и 2-й слои.(ПК 0+40- ПК 3+20);ГЛК;07.08.2025;Грунт в кольцах ;-;ООО Волгодорстрой;07.08/25-02;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.08/25-03;07.08.2025;Устройство ДСО. МФЗ ПК 26+50 проезд №1(лево), 1-й и 2-й слои.(ПК 0+00- ПК 5+80);ГЛК;07.08.2025;Грунт в кольцах ;-;ООО Волгодорстрой;07.08/25-03;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.08/25-04;07.08.2025;Устройство ДСО. МФЗ ПК 26+50 проезд №2.2(лево), 1-й и 2-й слои.(ПК 2+50- ПК 3+31);ГЛК;07.08.2025;Грунт в кольцах ;-;ООО Волгодорстрой;07.08/25-04;08.08.2025;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;06.08.2002;06.08.2025;ПК289+00 лево штабель ;ГСК;07.08.2025;Песок по ГОСТ 8736;-;к-р Спас-Загорье;06.08.2002;08.08.2025;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;06.08.2001;06.08.2025;ПК290+75 лево 12-й слой;ГСК;07.08.2025;Песок по ГОСТ 8736;-;ООО А-МОСТ;06.08.2001;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;12.07/25-03;12.07.2025;Устройство (укрепление) русла трубы, ВПТ. ПК 1215+50;ГЛК;12.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;12.07/25-03;09.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;12.07/25-04;12.07.2025;12.07/25-04;ГЛК;12.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;12.07/25-04;09.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;13.07/25-03;13.07.2025;Устройство (укрепление) кювета. ПК 1127+00(лево);ГЛК;13.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;13.07/25-03;10.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;02.08/25-03;02.08.2025;ПК 1057+77,69 ИССО 11 лево;ГЛК;02.08.2025;Бетонные образцы-кубы;-;ООО СУ №926;02.08/25-03;09.08.2025;Соответствует;Устройство Банкетки
ПЛП 1;СТР М-12 Д-А, 1-й этап;02.08/25-04;02.08.2025;уч. ПК 903+95 - ПК 904+00;ГЛК;02.08.2025;Бетонные образцы-кубы;-;ООО РСК;02.08/25-04;09.08.2025;Соответствует;Устройство укрепления кювета
ПЛП 6;РЕМ М-3 км 194+000-км 209+000;07.08/25-02;07.08.2025;ПК 39+00;ГЛК;07.08.2025;АБС SMA-16 по ГОСТ Р 58401.2;-;ООО СТДС / ЗАО ПКФ РБДС;07.08/25-02;10.08.2025;Соответствует;Верхний слой покрытия
ПЛП 6;РЕК М3 км 86-124 II ПК;05.08/25-01;05.08.2025;уч. ПК 376+00 - ПК 380+00 лево;ГСК;05.08.2025;Грунт по ГОСТ 33063;-;ООО СУ 911;05.08/25-01;06.08.2025;Соответствует; ПРС (существующий рельеф с техногенным грунтом)
ПЛП 6;РЕК М3 км 65-км 86 I ПК;08.08/25-01;08.08.2025;ПК 83+00 -15м лево от оси;ГЛК;08.08.2025;Керны АБ ЩМА-15 по ГОСТ 31015;-;ООО СУ 910;08.08/25-01;09.08.2025;Соответствует;
ПЛП 6;РЕМ М-3 км 194+000-км 209+000;08.08/25-03;08.08.2025;ПК 10+00 лево, ПК 22+00 право, ПК 38+00 лево;ГЛК;08.08.2025;АБС SMA-16 по ГОСТ Р 58401.2;-;ООО СТДС / ЗАО ПКФ РБДС;08.08/25-03;09.08.2025;Соответствует;направление Прямое
ПЛП 6;РЕК М3 км 86-124 II ПК;07.08.2002;07.08.2025;ПК 290 лево штабель;ГСК;08.08.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО А-МОСТ;07.08.2002;09.08.2025;Соответствует;АГН
ПЛП 6;РЕК М3 км 86-124 II ПК;07.08.2001;07.08.2025;ПК 307 (площадка складированя);ГСК;08.08.2025;Песок по ГОСТ 8736;-;ООО Агропром-Дзержинский/ ООО Стройсервис;07.08.2001;09.08.2025;Соответствует;Обратная засыпка АГН
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-04;03.08.2025;уч. ПК 1349+00 - ПК 1349+89;ГЛК;03.08.2025;Бетонные образцы-кубы;-;АО Донаэродострой;03.08/25-04;10.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-05;03.08.2025;ПК 1374;ГЛК;03.08.2025;Бетонные образцы-кубы;-;АО ?ДОНАЭРОДОРСТРОЙ;03.08/25-05;10.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-06;03.08.2025;уч. ПК 903+40 - ПК 904+00 право;ГЛК;03.08.2025;Бетонные образцы-кубы;-;ООО РСК;03.08/25-06;10.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;14.07/25-01;14.07.2025;Устройство укрепление кювета. ПК 1103+00(право);ГЛК;14.07.2025;Бетонные образцы-кубы;-;ООО Стройсервис;14.07/25-01;11.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;14.07/25-02;14.07.2025;Устройство укрепление кювета. ПК 1039+00(лево);ГЛК;14.07.2025;Бетонные образцы-кубы;-;ООО Стройсервис;14.07/25-02;11.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;14.07/25-03;14.07.2025;Устройство (укрепление) конуса на ОП№1. ПК 991+50 ИССО 6;ГЛК;14.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;14.07/25-03;11.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;14.07/25-04;14.07.2025;Устройство (укрепление) русла трубы, ВПТ. ПК 1261+78. ;ГЛК;14.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;14.07/25-04;11.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;14.07/25-05;14.07.2025;Устройство гасителя 1-го типа. ПК 1321;ГЛК;14.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;14.07/25-05;11.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;04.08/25-03;04.08.2025;ПК 1346;ГЛК;04.08.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;04.08/25-03;11.08.2025;Соответствует;Укрепление кювета
ПЛП 1;СТР М-12 Д-А, 1-й этап;04.08/25-04;04.08.2025;ПК 915+85;ГЛК;04.08.2025;Бетонные образцы-кубы;-;ООО РСК;04.08/25-04;11.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.08/25-01;05.08.2025;ПК 1150+00;ГЛК;05.08.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;05.08/25-01;12.08.2025;Соответствует;Подрядчик ООО СУ №926
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.08/25-03;05.08.2025;ПК 976+20 ВПТ;ГЛК;05.08.2025;Бетонные образцы-кубы;-;ООО РСК;05.08/25-03;12.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.08/25-04;05.08.2025;ПК 1313+44;ГЛК;05.08.2025;Бетонные образцы-кубы;-;АО ?Донаэродорстрой;05.08/25-04;12.08.2025;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;11.08.2001;11.08.2025;ПК 290+75 -8м. от стенки (16 слой);ГСК;12.08.2025;Грунт в кольцах ;-;АО ДСК АВТОБАН/ООО А-МОСТ;11.08.2001;12.08.2025;Соответствует;Обратная засыпка АГН
ПЛП 6;РЕК М3 км 65-км 86 I ПК;11.08/25-01;11.08.2025;П/б на ПК 205 право ООО СУ 910;ГЛК;11.08.2025;АБС к/з пл. тип Б М I по ГОСТ 9128;-;АО ДСК АВТОБАН/ООО СУ-910;11.08/25-01;12.08.2025;Соответствует;верхний слой основания
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.08/25-01;06.08.2025;ПК 1331+10;ГЛК;06.08.2025;Бетонные образцы-кубы;-;АО ?ДОНАЭРОДОРСТРОЙ;06.08/25-01;13.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.08/25-02;06.08.2025;ПК 915+85;ГЛК;06.08.2025;Бетонные образцы-кубы;-;ООО РСК;06.08/25-02;13.08.2025;Соответствует;Укрепление оголовка ВПТ
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.08/25-03;06.08.2025;ПК 635+00 лево;ГЛК;06.08.2025;Бетонные образцы-кубы;-;ООО РСК;06.08/25-03;13.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.08/25-01;07.08.2025;ПК 976+20;ГЛК;07.08.2025;Бетонные образцы-кубы;-;ООО РСК;07.08/25-01;14.08.2025;Соответствует;Укрепление трубы
ПЛП 1;СТР М-12 Д-А, 1-й этап;16.07/25-01;16.07.2025;Устройство зуба упоры водоотвода. ПК 1071+00(лево);ГЛК;16.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;16.07/25-01;13.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;17.07/25-04;17.07.2025;Устройство укрепления кювета. ПК 1078+00(право);ГЛК;17.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;17.07/25-04;14.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;17.07/25-05;17.07.2025;Устройство укрепления быстротока, нагорной канавы 5.1. ПК 1028+00(лево);ГЛК;17.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;17.07/25-05;14.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;18.07/25-01;18.07.2025;Устройство банкетки (лево). ПК 1032+00 ИССО 9;ГЛК;18.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;18.07/25-01;15.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;18.07/25-02;18.07.2025;Устройство быстротока монолитным бетоном, нагорной канавы 5.1. ПК 1028(лево);ГЛК;18.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;18.07/25-02;15.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;18.07/25-04;18.07.2025;Устройство (укрепление) конуса насыпи ОК1. ПК 991+50 ИССО 6;ГЛК;18.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;18.07/25-04;15.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;18.07/25-05;18.07.2025;Устройство кюветов. ПК 1372;ГЛК;18.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;18.07/25-05;15.08.2025;Соответствует;
ПЛП 6;РЕМ ИССО М-4 мост р. Гнилуша км 435+398;29.июл;29.07.2025;км 435+398 М-4 Дон;ГСК;14.08.2025;Бетонные образцы-кубы;-;ООО ППП АБСИДА;29.июл;14.08.2025;Соответствует;Конус моста
ПЛП 6;РЕМ ИССО М4 пут-д км 216+182 (левый), пут-д км 261+081 (правый);01.авг;01.08.2025;км 261+081 М-4 Дон;ГСК;14.08.2025;Бетонные образцы-кубы;-;ООО ППП АБСИДА;01.авг;14.08.2025;Соответствует;Конус моста
ПЛП 6;РЕМ ИССО М-4 мост р. Гнилуша км 435+398;21.июл;21.07.2025;км 435+398 М-4 Дон;ГСК;14.08.2025;Бетонные образцы-кубы;-;ООО ППП АБСИДА;21.июл;14.08.2025;Соответствует;Конус моста
ПЛП 6;РЕК М3 км 65-км 86 I ПК;12.08/25-01;12.08.2025;ПК 8+00 +3м право от оси ОХ;ГЛК;12.08.2025;Керны АБ к/з пл. тип Б М I по ГОСТ 9128;-;ООО СУ 910;12.08/25-01;13.08.2025;Соответствует;уч. ПК 7+00 - ПК 13+00 право
ПЛП 6;РЕК М3 км 86-124 II ПК;13.08/25-01;13.08.2025;уч. ПК 334+38 - ПК 340+92 право;ГЛК;13.08.2025;Грунт по ГОСТ 33063;-;ООО РСУ-Э;13.08/25-01;14.08.2025;Соответствует;траншея по переустройству ВЛ 10 кв
ПЛП 6;РЕК М3 км 86-124 II ПК;13.08/25-01;13.08.2025;уч. ПК 334+38 - ПК 340+92 право;ГЛК;13.08.2025;Грунт по ГОСТ 33063;-;ООО РСУ-Э;13.08/25-01;14.08.2025;Соответствует;траншея по переустройству ВЛ 10 кв
ПЛП 6;РЕК М3 км 86-124 II ПК;13.08/25-01;13.08.2025;уч. ПК 334+38 - ПК 340+92 право;ГЛК;13.08.2025;Грунт по ГОСТ 33063;-;ООО РСУ-Э;13.08/25-01;14.08.2025;Соответствует;траншея по переустройству ВЛ 10 кв
ПЛП 6;РЕК М3 км 86-124 II ПК;13.08/25-01;13.08.2025;уч. ПК 334+38 - ПК 340+92 право;ГЛК;13.08.2025;Грунт по ГОСТ 33063;-;ООО РСУ-Э;13.08/25-01;14.08.2025;Соответствует;траншея по переустройству ВЛ 10 кв
ПЛП 6;РЕК М3 км 86-124 II ПК;225-1073;13.08.2025;ПК 243+30 лево;ГСК;14.08.2025;Керны АБ к/з пл. тип Б М I по ГОСТ 9128;-;ООО СУ 905;225-1073;14.08.2025;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;224-1073;13.08.2025;ПК 243+50 лево 5,0 м от оси ОХ;ГСК;14.08.2025;Керны АБ к/з пл. тип А М I по ГОСТ 9128;-;ООО СУ 905;224-1073;14.08.2025;Соответствует;
ПЛП 6;РЕМ М-3 км 194+000-км 209+000;13.08/25-03;13.08.2025;ПК 59+00 -м. лево, ПК 45+00 +3м право;ГЛК;13.08.2025;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;ООО СТДС/ООО ПКФ РБДС;13.08/25-03;14.08.2025;Соответствует;
ПЛП 6;РЕМ М-3 км 194+000-км 209+000;13.08/25-02;13.08.2025;ПК 72+00 лево -3м.;ГЛК;13.08.2025;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО СТДС / ЗАО ПКФ РБДС;13.08/25-02;14.08.2025;Соответствует;
