ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;РЕК М-4 км 933-км 1024;№09/06-В35-МО10;09.06.2026;КМ 982+597;ГЛК;09.06.2026;Бетонные образцы-кубы;-;АО Дороги и Мосты Мостоотряд-10;№09/06-В35-МО10;07.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№05/07-ДСО;05.07.2026;ЛПЧ, ПК 9975+0;ГЛК;05.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№05/07-ДСО;05.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№07/06-В35-МО 10;07.06.2026;КМ 982+597;ГЛК;07.06.2026;Бетонные образцы-кубы;-;АО Дороги и Мосты Мостоотряд-10;№07/06-В35-МО 10;05.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№04/07-ДСО;04.07.2026;ЛПЧ, ПК 9932+00;ГЛК;04.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№04/07-ДСО;04.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№04/07/01-ДСО;04.07.2026;ЛПЧ, ПК 10004+00, ПК 1005+00;ГЛК;04.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№04/07/01-ДСО;04.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№03/07/01-ДСО;03.07.2026;ЛПЧ, ПК 9812+00, ПК 9814+00;ГЛК;03.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№03/07/01-ДСО;03.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№26/06-П;26.06.2026;Штабель АБЗ;ГЛК;26.06.2026;Песок по ГОСТ 32730;-;ООО Трансстроймеханизация;№26/06-П;27.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06-Щ;30.06.2026;Штабель АБЗ;ГЛК;30.06.2026;Щебень фр. 11,2-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№30/06-Щ;01.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07-ОМС;01.07.2026;ППЧ, ПК 10044+00;ГЛК;01.07.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№01/07-ОМС;08.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№28/06-ОМС;28.06.2026;ТР. развязка КМ 982, съезд №1;ГЛК;28.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№28/06-ОМС;05.07.2026;Соответствует;
